"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cardealership.com","FirstLinkDate_cardealership.com","LastLinkDate_cardealership.com"
785,"epicasite.com",570,-1,1,2,60818,49603,49141,15/01/2009 00:00,10/08/2013 00:00,"178.156.191.70","178.156.191.0","RO","com",17,12,2,07/06/2008 00:00,07/06/2008 00:00
786,"bhmbca.com",8,-1,1,2,18,128150,128149,18/12/2008 00:00,10/08/2013 00:00,"72.232.41.199","72.232.41.0","US","com",0,0,2,07/08/2009 00:00,24/10/2009 00:00
787,"anythinglah.com",1009,-1,1,2,7923,6735,4908,13/05/2012 00:00,06/08/2013 00:00,"69.43.161.170","69.43.161.0","US","com",28,2,2,26/07/2012 00:00,19/10/2012 00:00
788,"henfashion.com",174,-1,1,2,18189,664,445,04/11/2011 00:00,10/08/2013 00:00,"174.121.239.66","174.121.239.0","US","com",14,1,2,29/11/2011 00:00,08/12/2011 00:00
789,"healthinsuranceplaninfo.com",78,-1,1,2,931,7594,5600,11/01/2009 00:00,07/07/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",8,1,2,28/11/2011 00:00,06/02/2012 00:00
790,"enht94.com",142,-1,1,2,547,17566,9674,21/09/2011 00:00,30/03/2013 00:00,"50.63.202.64","50.63.202.0","US","com",9,0,2,06/12/2011 00:00,27/01/2012 00:00
791,"madcowroundabout.com",1394,-1,1,2,14521,83269,12311,25/09/2010 00:00,21/01/2013 00:00,"174.132.104.201","174.132.104.0","US","com",14,2,2,17/12/2011 00:00,17/12/2011 00:00
792,"201i.co",2534,-1,1,2,1001768,152072,142090,26/09/2010 00:00,20/04/2012 00:00,"173.192.117.66","173.192.117.0","US","co",10,4,2,19/10/2010 00:00,13/12/2010 00:00
793,"emich.be",3017,-1,1,2,389205,6314,4157,24/01/2008 00:00,10/08/2013 00:00,"188.165.227.110","188.165.227.0","FR","be",28,29,2,30/11/2011 00:00,01/02/2012 00:00
794,"chinovalleylaw.com",2,-1,1,2,10,201784,163724,13/12/2008 00:00,31/01/2013 00:00,"82.98.86.179","82.98.86.0","DE","com",4,0,2,27/08/2009 00:00,27/08/2009 00:00
795,"mahmudesadcosan.biz",2414,-1,1,2,26964,328899,47906,04/12/2011 00:00,10/08/2013 00:00,"176.53.43.199","176.53.43.0","TR","biz",27,10,2,10/02/2012 00:00,10/02/2012 00:00
796,"car-rental-24.com",6,-1,1,2,4441,98106,46559,09/01/2008 00:00,04/07/2012 00:00,"188.165.236.147","188.165.236.0","FR","com",0,0,2,09/05/2008 00:00,09/05/2008 00:00
797,"cfdforextrading.com",0,-1,1,2,0,538399,538398,03/02/2008 00:00,08/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",0,0,2,18/03/2009 00:00,18/03/2009 00:00
798,"milkdaddy.com",154,-1,1,2,623,169,60,23/12/2012 00:00,,"50.22.80.189","50.22.80.0","US","com",7,0,2,26/06/2012 00:00,22/12/2012 00:00
799,"myblogvoice.com",32237,-1,1,2,2268632,698153,367088,09/01/2008 00:00,29/04/2013 00:00,"64.74.223.49","64.74.223.0","US","com",27,13,2,27/11/2011 00:00,08/01/2012 00:00
800,"fremdsehen.at",837,-1,1,2,20311,29148,15739,03/07/2010 00:00,10/08/2013 00:00,"37.235.63.171","37.235.63.0","AT","at",25,6,2,22/11/2011 00:00,22/11/2011 00:00
801,"museumsalama.com",1188,-1,1,2,61744,63968,24716,06/02/2009 00:00,10/08/2013 00:00,"108.163.192.194","108.163.192.0","US","com",24,13,2,16/04/2013 00:00,03/07/2013 00:00
802,"cliffynotes.com",480,-1,1,2,11513,441,133,09/10/2008 00:00,02/08/2012 00:00,"67.199.146.25","67.199.146.0","US","com",11,5,2,20/06/2012 00:00,20/06/2012 00:00
803,"200i.at",2570,-1,1,2,1004126,160493,126390,26/09/2010 00:00,29/07/2013 00:00,"66.160.134.70","66.160.134.0","US","at",13,4,2,04/11/2010 00:00,06/11/2010 00:00
804,"mattfind.com",4817,-1,1,2,3378044,1926579,711775,18/03/2008 00:00,10/08/2013 00:00,"184.107.135.138","184.107.135.0","CA","com",17,17,2,29/01/2009 00:00,24/12/2009 00:00
805,"cs-archive.com",539,-1,1,2,901319,85198,82392,08/06/2008 00:00,03/12/2012 00:00,"199.34.228.100","199.34.228.0","US","com",6,0,2,21/11/2008 00:00,21/11/2008 00:00
806,"mataspam.com",1245,-1,1,2,49493,65846,24221,17/02/2008 00:00,10/08/2013 00:00,"173.233.77.122","173.233.77.0","US","com",30,32,2,29/08/2012 00:00,25/05/2013 00:00
807,"medical-term.com",3,-1,1,2,3,583060,583059,10/01/2008 00:00,04/02/2013 00:00,"69.43.161.167","69.43.161.0","US","com",0,0,2,29/01/2009 00:00,29/01/2009 00:00
808,"mazekni.com",2038,-1,1,2,1344313,6590103,168842,21/01/2008 00:00,12/01/2013 00:00,"94.23.0.39","94.23.0.0","FR","com",17,17,2,17/03/2009 00:00,17/03/2009 00:00
809,"math-t.com",85,-1,1,2,1364,372665,90370,14/02/2010 00:00,10/08/2013 00:00,"72.9.158.78","72.9.158.0","US","com",12,1,2,29/08/2012 00:00,02/03/2013 00:00
810,"mysearchmachine.com",12,-1,1,2,18,1053120,1053120,02/04/2008 00:00,12/03/2013 00:00,"91.210.235.70","91.210.235.0","IE","com",0,0,2,17/10/2010 00:00,09/06/2012 00:00
811,"crunchy-cooperative.com",3549,-1,1,2,33826,82515,31917,30/05/2009 00:00,10/08/2013 00:00,"50.63.202.34","50.63.202.0","US","com",18,4,2,03/12/2011 00:00,03/12/2011 00:00
812,"mysearch.com.au",1801,-1,1,2,20528,2003253,507905,28/01/2008 00:00,23/05/2011 00:00,"208.43.135.30","208.43.135.0","US","au",11,13,2,18/10/2010 00:00,05/02/2011 00:00
813,"accepa.com.au",64,-1,1,2,108,1892,1186,23/03/2013 00:00,10/08/2013 00:00,"65.99.229.21","65.99.229.0","US","au",16,3,2,05/08/2013 00:00,05/08/2013 00:00
814,"bing.com",1340157,16,1,1,915751543,335402624,7792906,30/03/2008 00:00,10/08/2013 00:00,"65.172.31.40","65.172.31.0","US","com",85,89,1,18/02/2010 00:00,18/02/2010 00:00
815,"blogspot.co.uk",445255,380,1,1,135838804,189046603,21683024,24/11/2011 00:00,10/08/2013 00:00,"74.125.142.191","74.125.142.0","US","uk",65,54,1,21/03/2013 00:00,21/03/2013 00:00
816,"blogspot.de",341598,619,1,1,130372053,341511839,52483958,14/09/2009 00:00,10/08/2013 00:00,"173.194.70.191","173.194.70.0","US","de",67,57,1,17/03/2012 00:00,17/03/2012 00:00
817,"virginmedia.com",25908038,1313,1,1,150007781,86583379,17122790,09/01/2008 00:00,10/08/2013 00:00,"212.250.162.12","212.250.162.0","UK","com",64,61,1,28/05/2010 00:00,28/05/2010 00:00
818,"blogspot.nl",186697,1657,1,1,56300263,247615898,32417725,13/10/2011 00:00,10/08/2013 00:00,"74.125.142.191","74.125.142.0","US","nl",58,46,1,26/09/2012 00:00,26/09/2012 00:00
819,"optimum.net",21744,2199,1,1,4007108,11719924,1919802,23/01/2008 00:00,10/08/2013 00:00,"66.54.17.31","66.54.17.0","US","net",44,49,1,13/09/2010 00:00,13/09/2010 00:00
820,"active.com",235199,3831,1,1,57804747,5935550,1784118,09/01/2008 00:00,10/08/2013 00:00,"23.60.127.46","23.60.127.0","US","com",62,64,1,13/10/2010 00:00,13/10/2010 00:00
821,"blogspot.hu",44101,3907,1,1,13279231,45330359,3810356,27/01/2008 00:00,10/08/2013 00:00,"74.125.133.191","74.125.133.0","US","hu",48,35,1,25/06/2012 00:00,25/06/2012 00:00
822,"pipl.com",74476,4145,1,1,9934477,16358227,1787803,12/01/2008 00:00,10/08/2013 00:00,"208.43.55.68","208.43.55.0","US","com",44,47,1,24/12/2009 00:00,24/12/2009 00:00
823,"redflagdeals.com",38697,4947,1,1,8963138,13137411,2052605,09/01/2008 00:00,10/08/2013 00:00,"54.243.38.73","54.243.38.0","US","com",55,48,1,21/10/2010 00:00,06/02/2013 00:00
824,"yale.edu",491775,5530,1,1,69766001,13619651,1816103,09/01/2008 00:00,10/08/2013 00:00,"130.132.35.53","130.132.35.0","US","edu",74,83,1,07/02/2012 00:00,15/06/2012 00:00
825,"boldchat.com",70903,7946,1,1,192238337,432678,53307,13/01/2008 00:00,10/08/2013 00:00,"72.52.9.27","72.52.9.0","US","com",72,80,1,13/11/2012 00:00,13/11/2012 00:00
826,"peekyou.com",29688,9107,1,1,1176960363,76003929,2187435,09/01/2008 00:00,10/08/2013 00:00,"173.194.75.121","173.194.75.0","US","com",44,36,1,08/08/2009 00:00,08/08/2009 00:00
827,"nana10.co.il",34759,10097,1,1,27953468,9614951,1827049,24/01/2008 00:00,10/08/2013 00:00,"62.0.18.221","62.0.18.0","IL","il",64,49,1,04/12/2009 00:00,04/12/2009 00:00
828,"thecarconnection.com",85044,13547,1,1,52745635,5688668,1240496,09/01/2008 00:00,10/08/2013 00:00,"166.78.207.176","166.78.207.0","US","com",70,61,1,15/10/2011 00:00,15/10/2011 00:00
829,"yellowbot.com",79415,14237,1,1,5784869,42633962,1985940,09/01/2008 00:00,10/08/2013 00:00,"199.15.177.185","199.15.177.0","US","com",54,58,1,19/07/2012 00:00,14/04/2013 00:00
830,"autoguide.com",33977,18120,1,1,382216529,69304228,1585386,10/01/2008 00:00,10/08/2013 00:00,"67.223.104.10","67.223.104.0","CA","com",67,49,1,15/11/2009 00:00,27/01/2013 00:00
831,"mustat.com",7495,18708,1,1,86123,2150216,307141,24/01/2010 00:00,10/08/2013 00:00,"46.105.117.190","46.105.117.0","FR","com",32,12,1,14/08/2012 00:00,14/08/2012 00:00
832,"myarticle.com",9442,18774,1,1,318936,561402,217111,14/08/2010 00:00,10/08/2013 00:00,"184.154.126.178","184.154.126.0","US","com",28,21,1,09/04/2013 00:00,09/06/2013 00:00
833,"lycos.fr",345131,19469,1,1,210777390,14441849,3798840,09/01/2008 00:00,10/08/2013 00:00,"213.152.6.98","213.152.6.0","FR","fr",68,49,1,15/10/2009 00:00,15/10/2009 00:00
834,"twellow.com",23765,20966,1,1,1128647,1100123,389585,03/10/2008 00:00,10/08/2013 00:00,"66.28.139.69","66.28.139.0","US","com",48,68,1,16/12/2009 00:00,16/12/2009 00:00
835,"blogbookmark.com",16033,26667,1,1,4722367,3226551,669804,28/04/2008 00:00,10/08/2013 00:00,"108.162.204.23","108.162.204.0","US","com",29,13,1,28/11/2011 00:00,28/11/2011 00:00
836,"linkresell.com",1857,27381,1,1,617766,72703,63943,05/12/2011 00:00,10/08/2013 00:00,"67.20.83.144","67.20.83.0","US","com",26,10,1,27/05/2013 00:00,27/05/2013 00:00
837,"gaijinpot.com",18820,28634,1,1,9064528,6664742,1397814,15/01/2008 00:00,10/08/2013 00:00,"50.56.227.177","50.56.227.0","US","com",43,50,1,24/11/2011 00:00,16/12/2011 00:00
838,"findyourlink.info",3310,31072,1,1,112711,775091,265644,16/05/2009 00:00,10/08/2013 00:00,"184.107.202.122","184.107.202.0","CA","info",31,18,1,14/03/2013 00:00,13/07/2013 00:00
839,"nediyor.com",1,34062,1,1,1,679982,679981,03/04/2008 00:00,10/08/2013 00:00,"190.93.243.45","190.93.243.0","CR","com",0,0,1,03/05/2009 00:00,03/05/2009 00:00
840,"tipd.com",80871,34631,1,1,77528524,26507136,1274239,19/11/2008 00:00,06/07/2013 00:00,"193.47.79.137","193.47.79.0","NL","com",37,32,1,17/03/2012 00:00,17/03/2012 00:00
841,"wirefan.com",18951,35150,1,1,5627956,3628541,1152385,15/01/2008 00:00,10/08/2013 00:00,"74.81.74.210","74.81.74.0","US","com",37,28,1,07/11/2011 00:00,07/11/2011 00:00
842,"dotpoch.com",9101,35768,1,1,244482,610730,151736,27/03/2011 00:00,30/07/2013 00:00,"108.162.199.103","108.162.199.0","US","com",33,13,1,20/04/2012 00:00,27/04/2012 00:00
843,"imakenews.com",27024,36922,1,1,9004731,4749099,1376677,09/01/2008 00:00,10/08/2013 00:00,"208.254.39.65","208.254.39.0","US","com",43,43,1,25/10/2012 00:00,25/10/2012 00:00
844,"arbecey.com",1400,42196,1,1,40720,343953,163458,31/10/2011 00:00,31/07/2013 00:00,"216.172.184.43","216.172.184.0","US","com",29,16,1,29/11/2011 00:00,29/11/2011 00:00
845,"biddingforgood.com",19169,43198,1,1,2158786,1396675,552925,20/11/2009 00:00,10/08/2013 00:00,"23.13.159.146","23.13.159.0","US","com",49,45,1,05/11/2011 00:00,27/01/2013 00:00
846,"segabg.com",8578,56263,1,1,1618270,2481914,898901,09/01/2008 00:00,10/08/2013 00:00,"87.247.248.139","87.247.248.0","BG","com",50,45,1,21/04/2012 00:00,21/04/2012 00:00
847,"web2carz.com",11143,59367,1,1,5010794,9058810,903612,10/01/2008 00:00,10/08/2013 00:00,"216.139.224.85","216.139.224.0","US","com",42,33,1,01/04/2013 00:00,01/04/2013 00:00
848,"getfave.com",28833,64536,1,1,11561427,30123650,2117131,19/01/2008 00:00,10/08/2013 00:00,"23.21.57.89","23.21.57.0","US","com",49,31,1,12/05/2013 00:00,12/05/2013 00:00
849,"toateblogurile.ro",9196,71513,1,1,10466797,1215225,448287,27/02/2009 00:00,10/08/2013 00:00,"193.105.28.20","193.105.28.0","RO","ro",49,46,1,23/11/2011 00:00,25/01/2012 00:00
850,"bolalist.com",6616,73117,1,1,157883,140624,113093,18/01/2009 00:00,10/08/2013 00:00,"173.0.129.54","173.0.129.0","US","com",41,14,1,08/03/2013 00:00,12/07/2013 00:00
851,"iium.edu.my",7653,81537,1,1,555523,29725248,1222539,26/01/2008 00:00,10/08/2013 00:00,"210.48.222.10","210.48.222.0","MY","my",40,48,1,25/09/2012 00:00,21/02/2013 00:00
852,"uis.edu",60226,91802,1,1,11409392,387419,198006,14/01/2008 00:00,10/08/2013 00:00,"192.102.230.95","192.102.230.0","US","edu",52,58,1,30/12/2011 00:00,21/02/2013 00:00
853,"localwineevents.com",23770,109240,1,1,11359677,1802718,1018301,09/01/2008 00:00,10/08/2013 00:00,"69.20.11.86","69.20.11.0","US","com",49,55,1,06/12/2008 00:00,06/12/2008 00:00
854,"everycarlisted.com",10641,123559,1,1,3453084,30343872,979030,12/11/2008 00:00,10/08/2013 00:00,"204.155.26.105","204.155.26.0","US","com",48,45,1,21/08/2010 00:00,21/08/2010 00:00
855,"regionaldirectory.us",1315,143963,1,1,81734,5731482,291413,14/05/2009 00:00,10/08/2013 00:00,"206.130.125.28","206.130.125.0","US","us",41,27,1,06/04/2013 00:00,07/07/2013 00:00
856,"catn.com",12959,154830,1,1,2658873,207823,82216,26/11/2010 00:00,10/08/2013 00:00,"87.124.84.243","87.124.84.0","UK","com",49,42,1,13/06/2012 00:00,13/06/2012 00:00
857,"123eng.com",27314,157210,1,1,343448,1490043,614609,10/01/2008 00:00,10/08/2013 00:00,"69.73.147.177","69.73.147.0","US","com",32,9,1,08/12/2011 00:00,08/12/2011 00:00
858,"bump.im",4117,159332,1,1,65154,663428,162758,05/11/2010 00:00,10/08/2013 00:00,"98.129.229.152","98.129.229.0","US","im",33,9,1,18/05/2012 00:00,18/05/2012 00:00
859,"38gb.com",755,162984,1,1,16205,117120,57430,21/12/2008 00:00,10/08/2013 00:00,"108.162.197.109","108.162.197.0","US","com",30,8,1,23/07/2013 00:00,23/07/2013 00:00
860,"quintura.com",20482,164980,1,1,1839169,2555816,331376,14/02/2008 00:00,10/08/2013 00:00,"89.222.213.98","89.222.213.0","RU","com",41,44,1,24/11/2010 00:00,24/11/2010 00:00
861,"omg-uti.org",2347,166343,1,1,54603,1445414,193338,29/09/2010 00:00,31/07/2013 00:00,"50.116.82.220","50.116.82.0","US","org",25,11,1,07/03/2013 00:00,07/03/2013 00:00
862,"freeindex.com",4241,174649,1,1,904809,112474,97952,12/12/2010 00:00,10/08/2013 00:00,"65.98.41.169","65.98.41.0","US","com",50,19,1,18/03/2013 00:00,18/03/2013 00:00
863,"bplaced.de",76521,174844,1,1,3602933,8612934,974256,01/02/2008 00:00,10/08/2013 00:00,"5.9.107.19","5.9.107.0","DE","de",45,35,1,26/07/2012 00:00,26/07/2012 00:00
864,"kurthanson.com",11353,180409,1,1,319143,68483,57158,15/01/2008 00:00,10/08/2013 00:00,"108.168.213.74","108.168.213.0","US","com",36,45,1,28/06/2010 00:00,11/07/2013 00:00
865,"citiservi.com",1742,181975,1,1,23769,685712,402326,12/10/2009 00:00,08/08/2013 00:00,"72.51.44.15","72.51.44.0","US","com",17,11,1,16/04/2010 00:00,16/04/2010 00:00
866,"keep.pl",61375,192611,1,1,6302195,1528103,716445,25/01/2008 00:00,10/08/2013 00:00,"194.9.24.158","194.9.24.0","PL","pl",55,19,1,22/06/2013 00:00,22/06/2013 00:00
867,"all-professional.com",2162,212771,1,1,61887,141415,88578,23/10/2009 00:00,10/08/2013 00:00,"108.162.198.85","108.162.198.0","US","com",30,14,1,04/09/2012 00:00,02/03/2013 00:00
868,"azfra.us",789,232679,1,1,93941,127850,32997,09/01/2008 00:00,09/08/2013 00:00,"50.63.202.56","50.63.202.0","US","us",23,10,1,25/07/2012 00:00,25/07/2012 00:00
869,"msgpluslive.es",6340,235697,1,1,274357,547564,301068,21/01/2008 00:00,10/08/2013 00:00,"193.105.102.38","193.105.102.0","CY","es",36,18,1,13/12/2011 00:00,13/12/2011 00:00
870,"giveyousomecolortoseesee.com",3819,236656,1,1,312936,9006597,1009389,30/11/2009 00:00,10/08/2013 00:00,"118.126.7.100","118.126.7.0","CN","com",20,5,1,13/09/2012 00:00,13/09/2012 00:00
871,"lshtm.ac.uk",26445,238728,1,1,1321774,8347974,1592656,13/01/2008 00:00,10/08/2013 00:00,"194.80.41.21","194.80.41.0","UK","uk",49,63,1,07/12/2011 00:00,01/09/2012 00:00
872,"comjuice.com",8526,238974,1,1,317892,16965941,426342,09/04/2010 00:00,24/07/2013 00:00,"107.23.11.177","107.23.11.0","US","com",23,17,1,06/05/2011 00:00,29/04/2012 00:00
873,"zipleaf.us",2373,239372,1,1,143338,2250556,471864,06/03/2009 00:00,10/08/2013 00:00,"69.162.108.163","69.162.108.0","US","us",33,22,1,19/02/2011 00:00,08/01/2013 00:00
874,"lvrj.com",170789,240899,1,1,98862500,3653120,440432,12/01/2008 00:00,10/06/2013 00:00,"54.245.88.31","54.245.88.0","US","com",44,44,1,21/06/2012 00:00,21/06/2012 00:00
875,"ufgop.org",2086,245596,1,1,138430,1740496,314930,30/01/2008 00:00,10/08/2013 00:00,"69.50.201.30","69.50.201.0","US","org",28,19,1,17/01/2012 00:00,02/02/2012 00:00
876,"parseek.ir",1404,248122,1,1,85859,495708,277826,24/01/2008 00:00,10/08/2013 00:00,"64.130.216.112","64.130.216.0","CA","ir",27,25,1,21/03/2013 00:00,25/05/2013 00:00
877,"coolinkdirectory.info",412,256157,1,1,11448,53522,12486,03/01/2011 00:00,09/08/2013 00:00,"69.195.100.99","69.195.100.0","US","info",14,8,1,09/12/2011 00:00,09/12/2011 00:00
878,"plsearch.com",3154,281999,1,1,535254,223882,185148,18/12/2008 00:00,13/06/2013 00:00,"184.107.114.248","184.107.114.0","CA","com",13,16,1,23/10/2010 00:00,09/01/2013 00:00
879,"justgoodcars.com",14342,284745,1,1,81676175,5594023,1214049,13/01/2008 00:00,10/08/2013 00:00,"89.16.178.242","89.16.178.0","UK","com",42,49,1,07/04/2008 00:00,09/07/2013 00:00
880,"arahman.net",4886,292769,1,1,40026,1510134,468168,31/01/2008 00:00,10/08/2013 00:00,"198.154.104.143","198.154.104.0","US","net",28,6,1,04/12/2011 00:00,04/12/2011 00:00
881,"b2k-team.ru",12869,326763,1,1,141587,306505,161141,23/01/2008 00:00,10/08/2013 00:00,"77.222.40.33","77.222.40.0","RU","ru",43,15,1,10/11/2011 00:00,11/11/2011 00:00
882,"webmii.com",354,330190,1,1,315304,1076343,1076343,23/09/2009 00:00,10/08/2013 00:00,"195.95.224.130","195.95.224.0","FR","com",13,5,1,23/01/2012 00:00,30/04/2012 00:00
883,"greatarticlesite.com",7799,334554,1,1,332265,922379,249268,07/08/2008 00:00,10/08/2013 00:00,"205.204.72.195","205.204.72.0","CA","com",39,9,1,04/06/2013 00:00,04/06/2013 00:00
884,"autoremarketing.com",8974,344164,1,1,212183,289780,117609,15/01/2008 00:00,10/08/2013 00:00,"66.216.81.130","66.216.81.0","US","com",43,34,1,16/11/2009 00:00,16/11/2009 00:00
885,"freedir.co",461,377014,1,1,45486,34845,16960,30/12/2010 00:00,10/08/2013 00:00,"199.101.28.20","199.101.28.0","US","co",14,7,1,11/04/2012 00:00,06/11/2012 00:00
886,"doesntexist.com",28918,378552,1,1,5957274,5451556,1230829,06/02/2008 00:00,10/08/2013 00:00,"204.13.248.119","204.13.248.0","US","com",34,28,1,23/10/2009 00:00,23/10/2009 00:00
887,"something-fishy.org",27338,405129,1,1,331190,829719,181448,24/01/2008 00:00,10/08/2013 00:00,"74.205.124.84","74.205.124.0","US","org",49,66,1,17/02/2012 00:00,17/02/2012 00:00
888,"myluximage.com",5583,417855,1,1,28673,232036,83362,12/06/2008 00:00,31/07/2013 00:00,"96.125.161.174","96.125.161.0","US","com",21,11,1,20/05/2013 00:00,20/05/2013 00:00
889,"atti.com",1450,456942,1,1,10355,14018672,237996,09/10/2008 00:00,10/08/2013 00:00,"208.93.105.59","208.93.105.0","US","com",21,25,1,26/09/2010 00:00,16/07/2012 00:00
890,"wixade.com",12403,457914,1,1,510722,330702,168253,22/11/2008 00:00,31/07/2013 00:00,"50.116.72.79","50.116.72.0","US","com",33,2,1,18/01/2012 00:00,10/06/2013 00:00
891,"socialbookmarkingzone.com",3327,465331,1,1,101850,318117,93914,21/06/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",25,6,1,03/12/2011 00:00,03/12/2011 00:00
892,"inout-search.com",614,480046,1,1,3679,1760702,425495,01/08/2008 00:00,10/08/2013 00:00,"98.129.229.144","98.129.229.0","US","com",19,12,1,21/07/2010 00:00,21/07/2010 00:00
893,"mymsn5.com",305,510491,1,1,9967,688847,97033,10/09/2010 00:00,09/08/2013 00:00,"198.58.93.4","198.58.93.0","US","com",12,5,1,25/11/2010 00:00,25/11/2010 00:00
894,"alleba.com",13924,522668,1,1,532206,9673679,1278960,12/01/2008 00:00,10/08/2013 00:00,"208.113.181.214","208.113.181.0","US","com",33,37,1,23/06/2010 00:00,23/06/2010 00:00
895,"ishschool.com",143,525287,1,1,620,41261,27779,29/03/2011 00:00,10/08/2013 00:00,"66.96.147.106","66.96.147.0","US","com",14,0,1,12/05/2013 00:00,09/07/2013 00:00
896,"mtrot.com",12,534034,1,1,27,770834,770834,23/01/2008 00:00,10/02/2013 00:00,"72.52.66.26","72.52.66.0","US","com",0,0,1,21/01/2010 00:00,06/09/2012 00:00
897,"accessvegas.com",6764,565373,1,1,1345704,17281007,1263972,09/01/2008 00:00,10/08/2013 00:00,"50.28.50.43","50.28.50.0","US","com",50,19,1,11/07/2012 00:00,05/06/2013 00:00
898,"gioo.com",4335,572117,1,1,7594564,20151886,1445388,03/02/2008 00:00,08/08/2013 00:00,"218.48.157.135","218.48.157.0","KR","com",25,11,1,08/11/2009 00:00,08/11/2009 00:00
899,"crossfireforum.org",3811,598464,1,1,38550,1653198,532125,25/01/2008 00:00,31/01/2013 00:00,"98.158.195.16","98.158.195.0","US","org",14,19,1,14/03/2011 00:00,06/04/2012 00:00
900,"vietmobile.vn",239,626169,1,1,46951,164941,77824,15/12/2010 00:00,10/08/2013 00:00,"112.213.89.119","112.213.89.0","VN","vn",39,1,1,06/08/2013 00:00,06/08/2013 00:00
901,"goodir.info",355,650866,1,1,14701,46425,9486,17/11/2010 00:00,10/08/2013 00:00,"69.195.100.99","69.195.100.0","US","info",11,4,1,12/03/2012 00:00,06/11/2012 00:00
902,"integratedfxsolutions.com",6902,694329,1,1,112665,72483,16739,31/03/2011 00:00,10/08/2013 00:00,"198.170.141.183","198.170.141.0","US","com",36,15,1,29/03/2013 00:00,29/03/2013 00:00
903,"toyotalexusforum.com",4530,707290,1,1,120678,3850306,565200,03/05/2009 00:00,10/08/2013 00:00,"70.38.77.187","70.38.77.0","CA","com",17,7,1,18/07/2012 00:00,18/07/2012 00:00
904,"investor411.org",2848,710971,1,1,54034,377585,308297,04/12/2008 00:00,10/08/2013 00:00,"207.58.129.237","207.58.129.0","US","org",30,14,1,11/06/2013 00:00,11/06/2013 00:00
905,"adultseminars.com",473,724114,1,1,8517,862,685,24/05/2010 00:00,10/08/2013 00:00,"74.54.219.226","74.54.219.0","US","com",24,5,1,03/12/2011 00:00,05/02/2012 00:00
906,"powellentertainment.net",4413,727444,1,1,33735,154251,33122,07/01/2009 00:00,10/08/2013 00:00,"199.204.44.162","199.204.44.0","CA","net",32,10,1,28/03/2012 00:00,28/03/2012 00:00
907,"href.ru",1862,729841,1,1,2819962,13079427,1326490,05/08/2009 00:00,07/06/2013 00:00,"66.147.242.196","66.147.242.0","US","ru",24,29,1,03/05/2013 00:00,03/05/2013 00:00
908,"rotary3050.org.in",198,763691,1,1,1360,20374,14447,28/07/2010 00:00,10/08/2013 00:00,"91.148.168.243","91.148.168.0","BG","in",28,4,1,25/04/2012 00:00,25/04/2012 00:00
909,"80de20.jp",4725,802377,1,1,108900,107390,81067,11/10/2008 00:00,10/08/2013 00:00,"203.189.105.94","203.189.105.0","JP","jp",26,25,1,21/12/2011 00:00,12/07/2013 00:00
910,"osadnicy.net.pl",7280,802846,1,1,69288,68524,16972,17/11/2012 00:00,10/08/2013 00:00,"78.47.93.117","78.47.93.0","DE","pl",34,20,1,31/07/2013 00:00,31/07/2013 00:00
911,"rwdmag.com",17364,803981,1,1,631000,1189433,217710,14/01/2008 00:00,10/08/2013 00:00,"98.142.208.234","98.142.208.0","US","com",41,30,1,18/11/2011 00:00,18/11/2011 00:00
912,"twigle.de",4069,837077,1,1,37197,555904,68618,23/04/2010 00:00,24/06/2013 00:00,"87.230.18.102","87.230.18.0","DE","de",12,5,1,17/11/2011 00:00,17/11/2011 00:00
913,"articlepremium.net",1626,841880,1,1,24633,207417,162605,13/06/2012 00:00,31/07/2013 00:00,"50.116.66.224","50.116.66.0","US","net",18,3,1,14/05/2013 00:00,14/05/2013 00:00
914,"diversityworking.com",9138,872655,1,1,369269,1732816,432102,10/01/2008 00:00,10/08/2013 00:00,"173.247.255.93","173.247.255.0","US","com",38,33,1,21/05/2013 00:00,21/05/2013 00:00
915,"kinas.info",10102,896445,1,1,956398,978901,573381,11/01/2008 00:00,10/08/2013 00:00,"92.61.46.16","92.61.46.0","LT","info",40,24,1,28/01/2012 00:00,28/01/2012 00:00
916,"cadillactights.info",2018,918042,1,1,77299,6276,1126,09/12/2011 00:00,08/08/2013 00:00,"31.170.164.93","31.170.164.0","UK","info",20,10,1,25/11/2011 00:00,25/11/2011 00:00
917,"backpainunitedstates.com",625,928947,1,1,19596,26962,14780,25/11/2010 00:00,10/08/2013 00:00,"184.173.193.62","184.173.193.0","US","com",28,2,1,18/05/2012 00:00,18/05/2012 00:00
918,"otodidak.info",2189,946700,1,1,81824,65885,39908,26/11/2008 00:00,01/01/2013 00:00,"103.8.78.91","103.8.78.0","ID","info",18,6,1,23/12/2011 00:00,23/12/2011 00:00
919,"cerebrodigital.org",517,950503,1,1,162986,106370,55034,18/01/2012 00:00,10/08/2013 00:00,"204.197.244.133","204.197.244.0","US","org",29,13,1,19/03/2012 00:00,05/05/2012 00:00
